experiment,split,variant,mode,seed,alignment_strength,best_epoch,lr_C,probe_dimensions,label_usage,alignment_label_usage,selection_usage,final_training,neural_test_accuracy,lr_train_accuracy,lr_train_balanced_accuracy,lr_train_macro_f1,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1
residual-mkmmd,S2_train_I_internal_val_test_all,RESIDUAL-MKMMD-UDA,uda,3,0.1,140,1.0,54,source train + source validation labels,target features only,source validation labels,source train+source validation refit,0.8168498168498168,1.0,1.0,1.0,0.8241758241758241,0.8230452674897119,0.8283051463902528
residual-mkmmd,S2_train_I_internal_val_test_all,RESIDUAL-MKMMD-UDA,uda,4,0.1,10,1.0,54,source train + source validation labels,target features only,source validation labels,source train+source validation refit,0.7765567765567766,1.0,1.0,1.0,0.7582417582417582,0.7605452674897119,0.7608742733574626
residual-mkmmd,S3_train_I_internal_20_10_test_all,RESIDUAL-MKMMD-UDA,uda,0,0.01,10,1.0,54,source train + source validation labels,target features only,source validation labels,source train+source validation refit,0.7362637362637363,1.0,1.0,1.0,0.7728937728937729,0.7731481481481483,0.7793512338525669
residual-mkmmd,S3_train_I_internal_20_10_test_all,RESIDUAL-MKMMD-UDA,uda,1,0.01,10,1.0,54,source train + source validation labels,target features only,source validation labels,source train+source validation refit,0.7472527472527473,1.0,1.0,1.0,0.8424908424908425,0.8423353909465021,0.8453712695573161
residual-mkmmd,S3_train_I_internal_20_10_test_all,RESIDUAL-MKMMD-UDA,uda,2,0.01,10,1.0,54,source train + source validation labels,target features only,source validation labels,source train+source validation refit,0.7142857142857143,1.0,1.0,1.0,0.7838827838827839,0.7854938271604938,0.7877010379643251
residual-mkmmd,S3_train_I_internal_20_10_test_all,RESIDUAL-MKMMD-UDA,uda,3,0.01,10,1.0,54,source train + source validation labels,target features only,source validation labels,source train+source validation refit,0.6996336996336996,1.0,1.0,1.0,0.7765567765567766,0.7785493827160493,0.7795058883768561
residual-mkmmd,S3_train_I_internal_20_10_test_all,RESIDUAL-MKMMD-UDA,uda,4,0.01,10,1.0,54,source train + source validation labels,target features only,source validation labels,source train+source validation refit,0.7692307692307693,1.0,1.0,1.0,0.7728937728937729,0.7750771604938271,0.7728162706343918
residual-mkmmd,S4_train_I_val_D1_2,RESIDUAL-MKMMD-SEMI,semi,0,1.0,340,1.0,54,source + labeled target,target features only,target validation labels,Source+Target refit,0.9346938775510204,1.0,1.0,1.0,0.926530612244898,0.9226399065519804,0.926370238582718
residual-mkmmd,S4_train_I_val_D1_2,RESIDUAL-MKMMD-SEMI,semi,1,1.0,50,1.0,54,source + labeled target,target features only,target validation labels,Source+Target refit,0.9428571428571428,1.0,1.0,1.0,0.9428571428571428,0.9402145056812148,0.9421176957911412
residual-mkmmd,S4_train_I_val_D1_2,RESIDUAL-MKMMD-SEMI,semi,2,1.0,160,1.0,54,source + labeled target,target features only,target validation labels,Source+Target refit,0.9346938775510204,1.0,1.0,1.0,0.9387755102040816,0.9356482956355526,0.9384396791046408
