experiment,split,mode,alignment_strength,seed,best_epoch,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,selection_usage
local-mkmmd,S5_train_I_D1_val_D2_3,semi,0.01,0,350,0.8846153846153846,0.9,0.8897028897028897,target validation labels
local-mkmmd,S5_train_I_D1_val_D2_3,semi,0.01,1,120,0.9230769230769231,0.9333333333333332,0.9234817813765183,target validation labels
local-mkmmd,S5_train_I_D1_val_D2_3,semi,0.01,2,300,1.0,1.0,1.0,target validation labels
local-mkmmd,S5_train_I_D1_val_D2_3,semi,0.01,3,160,0.8461538461538461,0.8444444444444444,0.8468013468013469,target validation labels
local-mkmmd,S5_train_I_D1_val_D2_3,semi,0.01,4,90,0.9230769230769231,0.9333333333333332,0.9234817813765183,target validation labels
local-mkmmd,S5_train_I_D1_val_D2_3,semi,0.1,0,110,0.8846153846153846,0.9,0.882010582010582,target validation labels
local-mkmmd,S5_train_I_D1_val_D2_3,semi,0.1,1,140,0.9615384615384616,0.9666666666666667,0.9568151147098516,target validation labels
local-mkmmd,S5_train_I_D1_val_D2_3,semi,0.1,2,210,0.9615384615384616,0.9666666666666667,0.9568151147098516,target validation labels
local-mkmmd,S5_train_I_D1_val_D2_3,semi,0.1,3,250,0.9615384615384616,0.9666666666666667,0.9568151147098516,target validation labels
local-mkmmd,S5_train_I_D1_val_D2_3,semi,0.1,4,30,0.9615384615384616,0.9666666666666667,0.9568151147098516,target validation labels
local-mkmmd,S5_train_I_D1_val_D2_3,semi,1.0,0,390,1.0,1.0,1.0,target validation labels
local-mkmmd,S5_train_I_D1_val_D2_3,semi,1.0,1,320,1.0,1.0,1.0,target validation labels
local-mkmmd,S5_train_I_D1_val_D2_3,semi,1.0,2,280,1.0,1.0,1.0,target validation labels
local-mkmmd,S5_train_I_D1_val_D2_3,semi,1.0,3,400,1.0,1.0,1.0,target validation labels
local-mkmmd,S5_train_I_D1_val_D2_3,semi,1.0,4,120,0.9615384615384616,0.9666666666666667,0.9568151147098516,target validation labels
local-mkmmd,S6_train_I_D1_2_val_D3_5,uda,0.1,0,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
local-mkmmd,S6_train_I_D1_2_val_D3_5,uda,0.1,1,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
local-mkmmd,S6_train_I_D1_2_val_D3_5,uda,0.1,2,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
local-mkmmd,S6_train_I_D1_2_val_D3_5,uda,0.1,3,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
local-mkmmd,S6_train_I_D1_2_val_D3_5,uda,0.1,4,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
local-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.01,0,30,0.95,0.9555555555555556,0.9495647721454173,target validation labels
local-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.01,1,30,0.95,0.9555555555555556,0.9553571428571429,target validation labels
local-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.01,2,350,0.95,0.9555555555555556,0.9553571428571429,target validation labels
local-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.01,3,40,0.9,0.9111111111111111,0.9095022624434389,target validation labels
local-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.01,4,40,0.95,0.9555555555555556,0.9553571428571429,target validation labels
local-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.1,0,110,0.975,0.9777777777777779,0.9777530589543938,target validation labels
local-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.1,1,110,0.975,0.9777777777777779,0.9777530589543938,target validation labels
local-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.1,2,130,0.975,0.9777777777777779,0.9777530589543938,target validation labels
local-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.1,3,250,0.975,0.9777777777777779,0.9777530589543938,target validation labels
local-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.1,4,100,0.975,0.9777777777777779,0.9777530589543938,target validation labels
local-mkmmd,S6_train_I_D1_2_val_D3_5,semi,1.0,0,40,0.95,0.9555555555555556,0.9553571428571429,target validation labels
local-mkmmd,S6_train_I_D1_2_val_D3_5,semi,1.0,1,20,0.95,0.9555555555555556,0.9553571428571429,target validation labels
local-mkmmd,S6_train_I_D1_2_val_D3_5,semi,1.0,2,40,0.975,0.9777777777777779,0.9777530589543938,target validation labels
local-mkmmd,S6_train_I_D1_2_val_D3_5,semi,1.0,3,90,0.975,0.9777777777777779,0.9777530589543938,target validation labels
local-mkmmd,S6_train_I_D1_2_val_D3_5,semi,1.0,4,40,0.975,0.9777777777777779,0.9777530589543938,target validation labels
local-mkmmd,S7_train_I_D1_3_val_D4_5,uda,0.1,0,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
