split,task,variant,space,label,domain,partition,period,day,day_num,target_file,x,y,architecture
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 12,12,air\air_23.csv,-2.996567660617446,2.1341253588525575,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 13,13,air\air_24.csv,-4.2298304875693065,1.8585864420030715,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 13,13,air\air_25.csv,-3.905605448411242,1.3110747783181036,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 13,13,air\air_26.csv,-4.291829729999615,-1.2087239618444647,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 13,13,air\air_27.csv,-3.8592684509391124,0.9650389935638948,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 13,13,air\air_28.csv,-3.251293398072336,3.3540856653710764,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 14,14,air\air_29.csv,-4.005827237311034,1.0250240965579518,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 14,14,air\air_30.csv,-2.9035096210505986,-1.1260744081464142,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 14,14,air\air_31.csv,-4.425685911260143,1.4696811178052585,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 14,14,air\air_32.csv,-3.4609895609969414,-1.2630844326438906,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 14,14,air\air_33.csv,-4.566960016374149,-1.3565753506152307,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 14,14,air\air_34.csv,-4.695528727849163,-1.3112460614712516,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 15,15,air\air_35.csv,-3.610122307479997,-0.9310451137114797,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 15,15,air\air_36.csv,-4.254905716877575,1.2510222907630597,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 15,15,air\air_37.csv,-4.24422672318664,-1.3629611818574423,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 15,15,air\air_38.csv,-4.151445361718606,1.479815583925579,One-layer G_f: 54 -> 16
