representation,from_day,to_day,from_day_num,to_day_num,gas,drift_distance,angle_to_acetone_minus_alcohol_deg,projection_on_acetone_minus_alcohol,interpretation
uci48_features_zscore,Day10,Day11,10,11,air,6.285113262564915,87.01923266693197,0.3268305404328856,projection relative to acetone-minus-alcohol axis
uci48_features_zscore,Day10,Day11,10,11,alcohol,5.458790904086168,91.96473933539005,-0.1871516456272342,positive means movement toward acetone side
uci48_features_zscore,Day10,Day11,10,11,acetone,6.687804984852067,100.69756073196334,-1.2414223436334093,negative means movement toward alcohol side
uci48_features_zscore,Day10,Day11,10,11,balanced_all_available_gases,5.014663708537176,94.19980394711592,-0.3672478162759193,overall balanced day shift relative to acetone-minus-alcohol axis
uci48_features_zscore,Day11,Day12,11,12,air,3.508662646966353,101.78062420817753,-0.7163461627775565,projection relative to acetone-minus-alcohol axis
uci48_features_zscore,Day11,Day12,11,12,alcohol,4.915769130978404,57.32131962712551,2.654157260540248,positive means movement toward acetone side
uci48_features_zscore,Day11,Day12,11,12,acetone,6.991085237922134,70.57633650053828,2.3248900109665236,negative means movement toward alcohol side
uci48_features_zscore,Day11,Day12,11,12,balanced_all_available_gases,3.7775421227747343,67.90495406565664,1.420900369576405,overall balanced day shift relative to acetone-minus-alcohol axis
uci48_features_zscore,Day12,Day13,12,13,air,2.6905947955188427,82.43193867280905,0.35436164359334843,projection relative to acetone-minus-alcohol axis
uci48_features_zscore,Day12,Day13,12,13,alcohol,5.77514281087024,94.29442608000684,-0.4324526099154166,positive means movement toward acetone side
uci48_features_zscore,Day12,Day13,12,13,acetone,7.300356807857494,132.052890658678,-4.889898205786094,negative means movement toward alcohol side
uci48_features_zscore,Day12,Day13,12,13,balanced_all_available_gases,4.604911082098176,111.07657097081231,-1.6559963907027206,overall balanced day shift relative to acetone-minus-alcohol axis
uci48_features_zscore,Day13,Day14,13,14,air,2.56155884356532,103.9522163931649,-0.6176241207716235,projection relative to acetone-minus-alcohol axis
uci48_features_zscore,Day13,Day14,13,14,alcohol,4.502901538545413,98.0703570112334,-0.6321578746544787,positive means movement toward acetone side
uci48_features_zscore,Day13,Day14,13,14,acetone,5.845142346947524,121.54283079761395,-3.057803217579265,negative means movement toward alcohol side
uci48_features_zscore,Day13,Day14,13,14,balanced_all_available_gases,3.2698780126255693,116.04760877044374,-1.4358617376684557,overall balanced day shift relative to acetone-minus-alcohol axis
uci48_features_zscore,Day14,Day15,14,15,air,3.1099685261816012,118.81482841658594,-1.4989440304997665,projection relative to acetone-minus-alcohol axis
uci48_features_zscore,Day14,Day15,14,15,balanced_all_available_gases,3.1099685261816012,118.81482841658594,-1.4989440304997665,overall balanced day shift relative to acetone-minus-alcohol axis
uci48_features_zscore,Day15,Day16,15,16,air,1.86597887211363,,,projection relative to acetone-minus-alcohol axis
uci48_features_zscore,Day15,Day16,15,16,balanced_all_available_gases,1.86597887211363,,,overall balanced day shift relative to acetone-minus-alcohol axis
uci48_features_zscore,Day16,Day17,16,17,air,2.0966456851478115,67.6562862055758,0.7970648857994324,projection relative to acetone-minus-alcohol axis
uci48_features_zscore,Day16,Day17,16,17,alcohol,3.204322858216675,79.25154842122947,0.597598154732774,positive means movement toward acetone side
uci48_features_zscore,Day16,Day17,16,17,acetone,5.230232659503681,79.59329900835948,0.9447587719404448,negative means movement toward alcohol side
uci48_features_zscore,Day16,Day17,16,17,balanced_all_available_gases,2.5181915437610987,71.96068214007573,0.7798072708242171,overall balanced day shift relative to acetone-minus-alcohol axis
