mode,split_id,group,classifier,case,removed_sensor,n_features,accuracy,balanced_accuracy,macro_f1,delta_balanced_accuracy_vs_all,delta_macro_f1_vs_all
stratified_random_holdout,6,,lda,without_s4,s4,45,1.0,1.0,1.0,0.0,0.0
stratified_random_holdout,6,,lda,without_s5,s5,45,0.9833333333333333,0.9848484848484849,0.9821470519144938,0.015151515151515138,0.017852948085506193
stratified_random_holdout,6,,lda,without_s6,s6,45,0.9833333333333333,0.9848484848484849,0.9821470519144938,0.015151515151515138,0.017852948085506193
stratified_random_holdout,6,,gnb,all,,54,0.9,0.9090909090909092,0.9090909090909092,0.0,0.0
stratified_random_holdout,6,,gnb,without_s1,s1,45,0.9,0.9090909090909092,0.9090909090909092,0.0,0.0
stratified_random_holdout,6,,gnb,without_s2,s2,45,0.85,0.8636363636363636,0.8629994810586403,0.045454545454545525,0.046091428032268844
stratified_random_holdout,6,,gnb,without_s3,s3,45,0.9,0.9090909090909092,0.9090909090909092,0.0,0.0
stratified_random_holdout,6,,gnb,without_s4,s4,45,0.9333333333333333,0.9393939393939394,0.9393939393939394,-0.030303030303030276,-0.030303030303030276
stratified_random_holdout,6,,gnb,without_s5,s5,45,0.9,0.9090909090909092,0.9090909090909092,0.0,0.0
stratified_random_holdout,6,,gnb,without_s6,s6,45,0.9,0.9090909090909092,0.9090909090909092,0.0,0.0
stratified_random_holdout,6,,centroid,all,,54,0.8833333333333333,0.893939393939394,0.8878898985068281,0.0,0.0
stratified_random_holdout,6,,centroid,without_s1,s1,45,0.8833333333333333,0.893939393939394,0.8853236194699609,0.0,0.002566279036867236
stratified_random_holdout,6,,centroid,without_s2,s2,45,0.85,0.8636363636363636,0.853628497106758,0.030303030303030387,0.03426140140007006
stratified_random_holdout,6,,centroid,without_s3,s3,45,0.8333333333333334,0.8484848484848485,0.8411425176131058,0.045454545454545525,0.04674738089372232
stratified_random_holdout,6,,centroid,without_s4,s4,45,0.9166666666666666,0.9242424242424243,0.9180733162830349,-0.030303030303030276,-0.03018341777620681
stratified_random_holdout,6,,centroid,without_s5,s5,45,0.9166666666666666,0.9242424242424243,0.9238886005881336,-0.030303030303030276,-0.03599870208130551
stratified_random_holdout,6,,centroid,without_s6,s6,45,0.9,0.9090909090909092,0.9057703225253596,-0.015151515151515138,-0.017880424018531516
stratified_random_holdout,7,,lda,all,,54,0.9666666666666667,0.9696969696969697,0.9648882808937529,0.0,0.0
stratified_random_holdout,7,,lda,without_s1,s1,45,0.9666666666666667,0.9696969696969697,0.9648882808937529,0.0,0.0
stratified_random_holdout,7,,lda,without_s2,s2,45,0.95,0.9545454545454546,0.9493676258382141,0.015151515151515138,0.01552065505553879
stratified_random_holdout,7,,lda,without_s3,s3,45,0.9333333333333333,0.9393939393939394,0.9312169312169312,0.030303030303030276,0.03367134967682173
stratified_random_holdout,7,,lda,without_s4,s4,45,0.9666666666666667,0.9696969696969697,0.9648882808937529,0.0,0.0
stratified_random_holdout,7,,lda,without_s5,s5,45,0.95,0.9545454545454546,0.9478036175710595,0.015151515151515138,0.017084663322693427
stratified_random_holdout,7,,lda,without_s6,s6,45,0.9666666666666667,0.9696969696969697,0.9648882808937529,0.0,0.0
stratified_random_holdout,7,,gnb,all,,54,0.85,0.8579545454545455,0.8613561553653719,0.0,0.0
stratified_random_holdout,7,,gnb,without_s1,s1,45,0.85,0.8579545454545455,0.8613561553653719,0.0,0.0
stratified_random_holdout,7,,gnb,without_s2,s2,45,0.6833333333333333,0.706439393939394,0.6906362007168458,0.1515151515151515,0.17071995464852607
stratified_random_holdout,7,,gnb,without_s3,s3,45,0.8333333333333334,0.8428030303030303,0.8456575682382135,0.015151515151515249,0.015698587127158437
stratified_random_holdout,7,,gnb,without_s4,s4,45,0.85,0.8579545454545455,0.8613561553653719,0.0,0.0
stratified_random_holdout,7,,gnb,without_s5,s5,45,0.85,0.8579545454545455,0.8613561553653719,0.0,0.0
