split,task,model,partition,random_state,label,support,predicted_n,precision,recall,f1
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,3.0,alcohol,12,12,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,3.0,acetone,12,12,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,3.0,air,1,3,0.3333333333333333,1.0,0.5
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,3.0,alcohol,2,1,1.0,0.5,0.6666666666666666
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,3.0,acetone,2,1,1.0,0.5,0.6666666666666666
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,3.0,air,81,90,0.7333333333333333,0.8148148148148148,0.7719298245614035
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,3.0,alcohol,96,120,0.675,0.84375,0.75
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,3.0,acetone,96,63,0.8253968253968254,0.5416666666666666,0.6540880503144654
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,4.0,air,6,6,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,4.0,alcohol,12,12,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,4.0,acetone,12,12,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,4.0,air,1,2,0.5,1.0,0.6666666666666666
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,4.0,alcohol,2,2,0.5,0.5,0.5
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,4.0,acetone,2,1,1.0,0.5,0.6666666666666666
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,4.0,air,81,73,0.9178082191780822,0.8271604938271605,0.8701298701298701
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,4.0,alcohol,96,112,0.6160714285714286,0.71875,0.6634615384615384
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,4.0,acetone,96,88,0.7272727272727273,0.6666666666666666,0.6956521739130435
S3_train_I_internal_20_10_test_all,three_class_with_air,LDA,train,,air,6,6,0.8333333333333334,0.8333333333333334,0.8333333333333334
S3_train_I_internal_20_10_test_all,three_class_with_air,LDA,train,,alcohol,12,15,0.8,1.0,0.8888888888888888
S3_train_I_internal_20_10_test_all,three_class_with_air,LDA,train,,acetone,12,9,1.0,0.75,0.8571428571428571
S3_train_I_internal_20_10_test_all,three_class_with_air,LDA,validation,,air,2,3,0.6666666666666666,1.0,0.8
S3_train_I_internal_20_10_test_all,three_class_with_air,LDA,validation,,alcohol,4,5,0.8,1.0,0.8888888888888888
S3_train_I_internal_20_10_test_all,three_class_with_air,LDA,validation,,acetone,4,2,1.0,0.5,0.6666666666666666
S3_train_I_internal_20_10_test_all,three_class_with_air,LDA,test,,air,81,75,0.76,0.7037037037037037,0.7307692307692307
S3_train_I_internal_20_10_test_all,three_class_with_air,LDA,test,,alcohol,96,143,0.6433566433566433,0.9583333333333334,0.7698744769874477
S3_train_I_internal_20_10_test_all,three_class_with_air,LDA,test,,acetone,96,55,0.9818181818181818,0.5625,0.7152317880794702
S3_train_I_internal_20_10_test_all,three_class_with_air,Logistic Regression,train,,air,6,8,0.75,1.0,0.8571428571428571
S3_train_I_internal_20_10_test_all,three_class_with_air,Logistic Regression,train,,alcohol,12,12,0.9166666666666666,0.9166666666666666,0.9166666666666666
S3_train_I_internal_20_10_test_all,three_class_with_air,Logistic Regression,train,,acetone,12,10,0.9,0.75,0.8181818181818182
S3_train_I_internal_20_10_test_all,three_class_with_air,Logistic Regression,validation,,air,2,2,0.5,0.5,0.5
