variant,lambda,seed,best_epoch,train_n,source_n,target_calibration_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy,domain_invariance_note,task
DANN-UDA,0.05,3,750,24,24,10,20,130,1.0,0.9,0.7615384615384615,1.0,0.9,0.7615384615384615,1.0,0.898989898989899,0.7507884484571146,0.2384615384615385,0.7058823529411765,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.05,7,260,24,24,10,20,130,1.0,0.95,0.8384615384615385,1.0,0.95,0.8384615384615385,1.0,0.949874686716792,0.8356510745891277,0.16153846153846152,0.7941176470588235,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.05,11,60,24,24,10,20,130,0.9166666666666666,0.95,0.8692307692307693,0.9166666666666667,0.95,0.8692307692307693,0.916083916083916,0.949874686716792,0.8669556318102463,0.04743589743589738,0.7941176470588235,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.05,17,320,24,24,10,20,130,1.0,0.95,0.8307692307692308,1.0,0.95,0.8307692307692308,1.0,0.949874686716792,0.8266666666666667,0.16923076923076918,0.8823529411764706,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.05,23,440,24,24,10,20,130,1.0,0.95,0.8384615384615385,1.0,0.95,0.8384615384615385,1.0,0.949874686716792,0.83729662077597,0.16153846153846152,0.8823529411764706,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.1,3,580,24,24,10,20,130,1.0,0.9,0.7538461538461538,1.0,0.9,0.7538461538461538,1.0,0.898989898989899,0.7418714321171507,0.24615384615384617,0.6764705882352942,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.1,7,240,24,24,10,20,130,1.0,0.95,0.8384615384615385,1.0,0.95,0.8384615384615385,1.0,0.949874686716792,0.8356510745891277,0.16153846153846152,0.7647058823529411,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.1,11,40,24,24,10,20,130,0.875,0.95,0.8615384615384616,0.875,0.95,0.8615384615384616,0.873015873015873,0.949874686716792,0.8588320463320462,0.013461538461538414,0.7941176470588235,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.1,17,260,24,24,10,20,130,1.0,0.95,0.823076923076923,1.0,0.95,0.823076923076923,1.0,0.949874686716792,0.8183364724466857,0.17692307692307696,0.7352941176470589,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.1,23,490,24,24,10,20,130,1.0,0.95,0.8461538461538461,1.0,0.95,0.8461538461538463,1.0,0.949874686716792,0.8458254269449714,0.15384615384615385,0.6470588235294118,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.2,3,50,24,24,10,20,130,0.875,0.85,0.7692307692307693,0.875,0.85,0.7692307692307693,0.873015873015873,0.8465473145780051,0.7580044676098288,0.10576923076923073,0.9117647058823529,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.2,7,200,24,24,10,20,130,1.0,0.95,0.8307692307692308,1.0,0.95,0.8307692307692307,1.0,0.949874686716792,0.82746138996139,0.16923076923076918,0.6764705882352942,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.2,11,40,24,24,10,20,130,0.875,0.95,0.8615384615384616,0.875,0.95,0.8615384615384616,0.873015873015873,0.949874686716792,0.8588320463320462,0.013461538461538414,0.7352941176470589,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.2,17,220,24,24,10,20,130,1.0,0.95,0.8538461538461538,1.0,0.95,0.8538461538461539,1.0,0.949874686716792,0.851303353199687,0.1461538461538462,0.6764705882352942,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.2,23,420,24,24,10,20,130,1.0,0.95,0.8538461538461538,1.0,0.95,0.8538461538461539,1.0,0.949874686716792,0.8536296296296296,0.1461538461538462,0.7352941176470589,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.5,3,90,24,24,10,20,130,0.9166666666666666,0.9,0.823076923076923,0.9166666666666667,0.9,0.823076923076923,0.916083916083916,0.898989898989899,0.8173599657931709,0.09358974358974359,0.7058823529411765,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.5,7,350,24,24,10,20,130,1.0,0.95,0.8307692307692308,1.0,0.95,0.8307692307692307,1.0,0.949874686716792,0.82746138996139,0.16923076923076918,0.7058823529411765,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.5,11,40,24,24,10,20,130,0.875,1.0,0.8769230769230769,0.875,1.0,0.8769230769230769,0.873015873015873,1.0,0.8750300408555636,-0.0019230769230769162,0.6470588235294118,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.5,17,480,24,24,10,20,130,1.0,0.95,0.823076923076923,1.0,0.95,0.823076923076923,1.0,0.949874686716792,0.8183364724466857,0.17692307692307696,0.7058823529411765,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.5,23,260,24,24,10,20,130,1.0,0.95,0.8692307692307693,1.0,0.95,0.8692307692307693,1.0,0.949874686716792,0.8688505133226514,0.13076923076923075,0.7058823529411765,closer_to_0.5_is_more_invariant,binary_without_air
