family,feature_set,split,method,method_family,representation,head,seeds,train_accuracy,train_accuracy_min,train_accuracy_max,train_accuracy_std,test_accuracy,test_accuracy_min,test_accuracy_max,test_accuracy_std,test_balanced_accuracy,test_balanced_accuracy_min,test_balanced_accuracy_max,test_balanced_accuracy_std,test_macro_f1,test_macro_f1_min,test_macro_f1_max,test_macro_f1_std
domain-adaptation,54D,S1_train_I_test_all,cdan,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.8534798534798534,0.7948717948717948,0.9084249084249084,0.0427960492510913,0.8508230452674898,0.7894804526748972,0.9016203703703703,0.04232334950934675,0.8555402966963728,0.7982707215265356,0.905438879026833,0.04070054332421527
classical-ml,54D,S2_train_I_internal_val_test_all,logistic-regression,classical-ml,raw,logistic-regression,-1,1.0,1.0,1.0,,0.8168498168498168,0.8168498168498168,0.8168498168498168,,0.8167438271604938,0.8167438271604938,0.8167438271604938,,0.8231666880588714,0.8231666880588714,0.8231666880588714,
classical-ml,54D,S2_train_I_internal_val_test_all,mlp,classical-ml,raw,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7575091575091576,0.7289377289377289,0.7985347985347986,0.03583383765976735,0.761522633744856,0.7334104938271605,0.8019547325102879,0.0348187292433302,0.7605783064535241,0.7253392916252897,0.7993324989570295,0.03590435312948741
domain-adaptation,54D,S2_train_I_internal_val_test_all,source-only,opensource-core,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8021978021978022,0.7692307692307693,0.8424908424908425,0.026159078492830938,0.803883744855967,0.7716049382716049,0.8436213991769548,0.025707783799986034,0.8010005245764417,0.7677456411843044,0.8448612122430236,0.02794668249798607
domain-adaptation,54D,S2_train_I_internal_val_test_all,dann,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9866666666666667,0.9333333333333332,1.0,0.02981423969999724,0.8578754578754578,0.8168498168498168,0.8974358974358975,0.035833837659767345,0.8551183127572017,0.8103137860082303,0.8963477366255144,0.03771629967290371,0.8584426956635204,0.8136520234537855,0.8996249761820246,0.03807433688974317
domain-adaptation,54D,S2_train_I_internal_val_test_all,deep-coral,opensource-core,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8747252747252746,0.8205128205128205,0.912087912087912,0.03620634078579212,0.8723765432098766,0.8208590534979424,0.9083076131687244,0.03434431792147734,0.8743757653880561,0.8173107493173778,0.912013448855554,0.037526082476906975
domain-adaptation,54D,S2_train_I_internal_val_test_all,mk-mmd,opensource-core,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8937728937728938,0.8608058608058609,0.9157509157509156,0.021515274953243044,0.8910751028806583,0.8558384773662552,0.9143518518518516,0.02312151960615607,0.894633996943211,0.8605839235031488,0.9156811281983854,0.02153298129949086
domain-adaptation,54D,S2_train_I_internal_val_test_all,cdan,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.8864468864468865,0.8681318681318682,0.9084249084249084,0.014652014652014642,0.8822016460905349,0.8582818930041153,0.904835390946502,0.016859219665050915,0.8864064897110083,0.863645990986505,0.9072720535578864,0.01594585043895006
domain-adaptation,54D,S2_train_I_internal_val_test_all,source-only,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9333333333333332,0.7666666666666667,1.0,0.10274023338281627,0.7377289377289377,0.6483516483516484,0.8571428571428571,0.08600651477611312,0.7422582304526748,0.6628086419753086,0.8549382716049383,0.08081819451692608,0.7251843733654512,0.5995801398567077,0.8553520418796818,0.098434924932628
domain-adaptation,54D,S2_train_I_internal_val_test_all,dann,opensource-core,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8615384615384615,0.7985347985347986,0.9010989010989012,0.04267045529208342,0.8593621399176955,0.7993827160493828,0.8972479423868314,0.04121617256479901,0.8639603764205,0.8045297633549865,0.9009954151428866,0.04064138180072861
domain-adaptation,54D,S2_train_I_internal_val_test_all,deep-coral,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9866666666666667,0.9333333333333332,1.0,0.02981423969999724,0.7963369963369964,0.7032967032967034,0.8571428571428571,0.06149047492378984,0.7998713991769548,0.7136059670781894,0.8607253086419754,0.05799379556351167,0.7933268944381416,0.6878369152562701,0.8597185816222513,0.06789212318960354
